2.8000e+02	4.7309e-23
2.8050e+02	1.2307e-21
2.8100e+02	5.6895e-21
2.8150e+02	1.5662e-19
2.8200e+02	1.1946e-18
2.8250e+02	4.5436e-18
2.8300e+02	1.8452e-17
2.8350e+02	3.5360e-17
2.8400e+02	7.2670e-16
2.8450e+02	2.4856e-15
2.8500e+02	8.0142e-15
2.8550e+02	4.2613e-14
2.8600e+02	1.3684e-13
2.8650e+02	8.3823e-13
2.8700e+02	2.7367e-12
2.8750e+02	1.0903e-11
2.8800e+02	6.2337e-11
2.8850e+02	1.7162e-10
2.8900e+02	5.6265e-10
2.8950e+02	2.0749e-09
2.9000e+02	6.0168e-09
2.9050e+02	1.3783e-08
2.9100e+02	3.5052e-08
2.9150e+02	1.0913e-07
2.9200e+02	2.6830e-07
2.9250e+02	4.2685e-07
2.9300e+02	8.6466e-07
2.9350e+02	2.2707e-06
2.9400e+02	4.1744e-06
2.9450e+02	6.5911e-06
2.9500e+02	1.2290e-05
2.9550e+02	2.7826e-05
2.9600e+02	4.7904e-05
2.9650e+02	7.1345e-05
2.9700e+02	9.6800e-05
2.9750e+02	1.8608e-04
2.9800e+02	2.8988e-04
2.9850e+02	3.5789e-04
2.9900e+02	4.9211e-04
2.9950e+02	8.6068e-04
3.0000e+02	1.0205e-03
3.0050e+02	1.2450e-03
3.0100e+02	1.9300e-03
3.0150e+02	2.6914e-03
3.0200e+02	2.9209e-03
3.0250e+02	4.2840e-03
3.0300e+02	7.0945e-03
3.0350e+02	8.9795e-03
3.0400e+02	9.4701e-03
3.0450e+02	1.1953e-02
3.0500e+02	1.6463e-02
3.0550e+02	1.8719e-02
3.0600e+02	1.8577e-02
3.0650e+02	2.1108e-02
3.0700e+02	2.7849e-02
3.0750e+02	3.5635e-02
3.0800e+02	3.7837e-02
3.0850e+02	4.1430e-02
3.0900e+02	4.0534e-02
3.0950e+02	4.3306e-02
3.1000e+02	5.0939e-02
3.1050e+02	6.5540e-02
3.1100e+02	8.2922e-02
3.1150e+02	8.4080e-02
